areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E12000001,North East,region,2022-06-16,15_19,0,0,0.0
E12000001,North East,region,2022-06-16,20_24,0,0,0.0
E12000001,North East,region,2022-06-16,25_29,0,0,0.0
E12000001,North East,region,2022-06-16,30_34,0,0,0.0
E12000001,North East,region,2022-06-16,35_39,0,0,0.0
E12000001,North East,region,2022-06-16,40_44,0,0,0.0
E12000001,North East,region,2022-06-16,45_49,0,0,0.0
E12000001,North East,region,2022-06-16,50_54,0,0,0.0
E12000001,North East,region,2022-06-16,55_59,0,0,0.0
E12000001,North East,region,2022-06-16,60+,5,21,3.0
E12000001,North East,region,2022-06-16,60_64,0,0,0.0
E12000001,North East,region,2022-06-16,65_69,0,2,1.3
E12000001,North East,region,2022-06-16,70_74,1,2,1.4
E12000001,North East,region,2022-06-16,75_79,0,4,4.0
E12000001,North East,region,2022-06-16,80_84,0,1,1.3
E12000001,North East,region,2022-06-16,85_89,3,8,18.2
E12000001,North East,region,2022-06-16,90+,1,4,17.7
E12000001,North East,region,2022-06-15,00_04,0,0,0.0
E12000001,North East,region,2022-06-15,00_59,0,0,0.0
E12000001,North East,region,2022-06-15,05_09,0,0,0.0
E12000001,North East,region,2022-06-15,10_14,0,0,0.0
E12000001,North East,region,2022-06-15,15_19,0,0,0.0
E12000001,North East,region,2022-06-15,20_24,0,0,0.0
E12000001,North East,region,2022-06-15,25_29,0,0,0.0
E12000001,North East,region,2022-06-15,30_34,0,0,0.0
E12000001,North East,region,2022-06-15,35_39,0,0,0.0
E12000001,North East,region,2022-06-15,40_44,0,0,0.0
E12000001,North East,region,2022-06-15,45_49,0,0,0.0
E12000001,North East,region,2022-06-15,50_54,0,0,0.0
E12000001,North East,region,2022-06-15,55_59,0,0,0.0
E12000001,North East,region,2022-06-15,60+,2,20,2.8
E12000001,North East,region,2022-06-15,60_64,0,0,0.0
E12000001,North East,region,2022-06-15,65_69,0,3,2.0
E12000001,North East,region,2022-06-15,70_74,0,2,1.4
E12000001,North East,region,2022-06-15,75_79,0,4,4.0
E12000001,North East,region,2022-06-15,80_84,0,2,2.7
E12000001,North East,region,2022-06-15,85_89,1,5,11.4
E12000001,North East,region,2022-06-15,90+,1,4,17.7
E12000001,North East,region,2022-06-14,00_04,0,0,0.0
E12000001,North East,region,2022-06-14,00_59,0,0,0.0
E12000001,North East,region,2022-06-14,05_09,0,0,0.0
E12000001,North East,region,2022-06-14,10_14,0,0,0.0
E12000001,North East,region,2022-06-14,15_19,0,0,0.0
E12000001,North East,region,2022-06-14,20_24,0,0,0.0
E12000001,North East,region,2022-06-14,25_29,0,0,0.0
E12000001,North East,region,2022-06-14,30_34,0,0,0.0
E12000001,North East,region,2022-06-14,35_39,0,0,0.0
E12000001,North East,region,2022-06-14,40_44,0,0,0.0
E12000001,North East,region,2022-06-14,45_49,0,0,0.0
E12000001,North East,region,2022-06-14,50_54,0,0,0.0
E12000001,North East,region,2022-06-14,55_59,0,0,0.0
E12000001,North East,region,2022-06-14,60+,1,21,3.0
E12000001,North East,region,2022-06-14,60_64,0,0,0.0
E12000001,North East,region,2022-06-14,65_69,0,3,2.0
E12000001,North East,region,2022-06-14,70_74,0,2,1.4
E12000001,North East,region,2022-06-14,75_79,1,5,5.0
E12000001,North East,region,2022-06-14,80_84,0,2,2.7
E12000001,North East,region,2022-06-14,85_89,0,5,11.4
E12000001,North East,region,2022-06-14,90+,0,4,17.7
E12000001,North East,region,2022-06-13,00_04,0,0,0.0
E12000001,North East,region,2022-06-13,00_59,0,0,0.0
E12000001,North East,region,2022-06-13,05_09,0,0,0.0
E12000001,North East,region,2022-06-13,10_14,0,0,0.0
E12000001,North East,region,2022-06-13,15_19,0,0,0.0
E12000001,North East,region,2022-06-13,20_24,0,0,0.0
E12000001,North East,region,2022-06-13,25_29,0,0,0.0
E12000001,North East,region,2022-06-13,30_34,0,0,0.0
E12000001,North East,region,2022-06-13,35_39,0,0,0.0
E12000001,North East,region,2022-06-13,40_44,0,0,0.0
E12000001,North East,region,2022-06-13,45_49,0,0,0.0
E12000001,North East,region,2022-06-13,50_54,0,0,0.0
E12000001,North East,region,2022-06-13,55_59,0,0,0.0
E12000001,North East,region,2022-06-13,60+,3,25,3.5
E12000001,North East,region,2022-06-13,60_64,0,0,0.0
E12000001,North East,region,2022-06-13,65_69,0,3,2.0
E12000001,North East,region,2022-06-13,70_74,0,2,1.4
E12000001,North East,region,2022-06-13,75_79,1,4,4.0
E12000001,North East,region,2022-06-13,80_84,0,3,4.0
E12000001,North East,region,2022-06-13,85_89,2,7,15.9
E12000001,North East,region,2022-06-13,90+,0,6,26.6
E12000001,North East,region,2022-06-12,00_04,0,0,0.0
E12000001,North East,region,2022-06-12,00_59,0,0,0.0
E12000001,North East,region,2022-06-12,05_09,0,0,0.0
E12000001,North East,region,2022-06-12,10_14,0,0,0.0
E12000001,North East,region,2022-06-12,15_19,0,0,0.0
E12000001,North East,region,2022-06-12,20_24,0,0,0.0
E12000001,North East,region,2022-06-12,25_29,0,0,0.0
E12000001,North East,region,2022-06-12,30_34,0,0,0.0
E12000001,North East,region,2022-06-12,35_39,0,0,0.0
E12000001,North East,region,2022-06-12,40_44,0,0,0.0
E12000001,North East,region,2022-06-12,45_49,0,0,0.0
E12000001,North East,region,2022-06-12,50_54,0,0,0.0
E12000001,North East,region,2022-06-12,55_59,0,0,0.0
E12000001,North East,region,2022-06-12,60+,2,25,3.5
E12000001,North East,region,2022-06-12,60_64,0,0,0.0
E12000001,North East,region,2022-06-12,65_69,0,3,2.0
E12000001,North East,region,2022-06-12,70_74,0,4,2.7
E12000001,North East,region,2022-06-12,75_79,1,3,3.0
E12000001,North East,region,2022-06-12,80_84,0,3,4.0
E12000001,North East,region,2022-06-12,85_89,0,5,11.4
E12000001,North East,region,2022-06-12,90+,1,7,31.0
E12000001,North East,region,2022-06-11,00_04,0,0,0.0
E12000001,North East,region,2022-06-11,00_59,0,0,0.0
E12000001,North East,region,2022-06-11,05_09,0,0,0.0
E12000001,North East,region,2022-06-11,10_14,0,0,0.0
E12000001,North East,region,2022-06-11,15_19,0,0,0.0
E12000001,North East,region,2022-06-11,20_24,0,0,0.0
E12000001,North East,region,2022-06-11,25_29,0,0,0.0
E12000001,North East,region,2022-06-11,30_34,0,0,0.0
E12000001,North East,region,2022-06-11,35_39,0,0,0.0
E12000001,North East,region,2022-06-11,40_44,0,0,0.0
E12000001,North East,region,2022-06-11,45_49,0,0,0.0
E12000001,North East,region,2022-06-11,50_54,0,0,0.0
E12000001,North East,region,2022-06-11,55_59,0,0,0.0
E12000001,North East,region,2022-06-11,60+,2,25,3.5
E12000001,North East,region,2022-06-11,60_64,0,0,0.0
E12000001,North East,region,2022-06-11,65_69,0,3,2.0
E12000001,North East,region,2022-06-11,70_74,0,4,2.7
E12000001,North East,region,2022-06-11,75_79,0,3,3.0
E12000001,North East,region,2022-06-11,80_84,0,3,4.0
E12000001,North East,region,2022-06-11,85_89,1,6,13.6
E12000001,North East,region,2022-06-11,90+,1,6,26.6
E12000001,North East,region,2022-06-10,00_04,0,0,0.0
E12000001,North East,region,2022-06-10,00_59,0,0,0.0
